"","name","instruction"
"0","59_steamedbreadlittleoven","Put the buns in a small steamer"
"1","58_pumpkinlittleoven","Place pumpkin in a small steamer"
"2","57_potatolittleoven","Place potatoes in a small steamer"
"3","56_placeplate","Place the plate"
"4","55_pumpkinbowloven","Place pumpkin in the steamer"
"5","54_placecup","right arm lift cup from the cupboard, then place it on the right of the bowl"
"6","53_stackcup","the left arm pick up the left cup on cup holder and place it on desk, then the right arm insert the right cup into the first cup, and then the left arm insert the mid cup into the first cup"
"7","52_holdercup","the left arm pick the top cup and place it on cupholder, the right arm pick up the mid cup and place it on cupholder, last the left arm pick the bottom cup and place it on cupholder."
"8","51_breadoven","the left arm flap open the oven, the right arm pick bread and place it into oven, the left arm flap close the oven"
"9","50_pourtea","Pour the drink into the cup"
"10","48_putpotatogreenplatefromsteam_2","the right arm pick the green plate and place it on desk, then the left arm uncap open the steamer lid, the right arm pick the potato and place it on the plate, then the right arm cap close the steamer lid"
"11","46_putredbowlonwhiteplate","Place the red bowl on the white plate"
"12","45_putgreenbowlonblueplate","Place the green bowl on the blue plate"
"13","3_eggplantoven","take the eggplant from the table,turn on the oven,put the eggplant in,turn off the oven"
"14","38_putcorn","pick up corn from basket and place on desk"
"15","2_cornoven","take the corn from the table,turn on the oven,put the corn in,turn off the oven"
"16","22_takepotato","take the potato out from the steamer,put the potato on the plate,close the lid"
"17","21_takeegg","take the egg out from the steamer,put the egg on the plate,close the lid"
"18","17_packtable","Help me put the vegetables on the table into the basket"
"19","16_steampotato_2","pick up the potato,open the lid,put the potato in the pot,close the lid"
"20","16_steampotato","pick up the potato,open the lid,put the potato in the pot,close the lid"
"21","15_steamegg_2","pick up the egg,open the lid,put the egg in the pot,close the lid"
"22","15_steamegg","pick up the egg,open the lid,put the egg in the pot,close the lid"
"23","14_steamcorn","pick up the corn,open the lid,put the corn in the pot,close the lid"
"24","13_packbowl","pick up blue bowl 1,put blue bowl 1 on green bowl,pick up blue bowl 2,put blue bowl 2 on top of the stacked bowls,place the stacked bowls to the right side"
"25","12_packcup","pick up cup 1,put cup 1 in the cup rack,pick up cup 2,put cup 2 in the cup rack"
