,task,instruction
0,10_packplate,"pick up the plate 1 on the right,put plate 1 in the plate rack,pick up the plate 3 on the left,put plate 2 in the plate rack"
1,10_packplate_2,"pick up the plate 1 on the right,put plate 1 in the plate rack,pick up the plate 3 on the left,put plate 2 in the plate rack"
2,11_brushcup,"pick up the cup brush,pick up the cup,insert the brush into the cup,clean the cup,put the cup brush back,put the cup back to the fixed position on the table"
3,11_brushcup_2,"pick up the cup brush,pick up the cup,insert the brush into the cup,clean the cup,put the cup brush back,put the cup back to the fixed position on the table"
4,12_packcup,"pick up cup 1,put cup 1 in the cup rack,pick up cup 2,put cup 2 in the cup rack"
5,13_packbowl,"pick up blue bowl 1,put blue bowl 1 on green bowl,pick up blue bowl 2,put blue bowl 2 on top of the stacked bowls,place the stacked bowls to the right side"
6,14_steamcorn,"pick up the corn,open the lid,put the corn in the pot,close the lid"
7,15_steamegg,"pick up the egg,open the lid,put the egg in the pot,close the lid"
8,15_steamegg_2,"pick up the egg,open the lid,put the egg in the pot,close the lid"
9,16_steampotato,"pick up the potato,open the lid,put the potato in the pot,close the lid"
10,16_steampotato_2,"pick up the potato,open the lid,put the potato in the pot,close the lid"
11,17_packtable,Help me put the vegetables on the table into the basket
12,18_makebread,"pick up a slice of bread from the rack,put the bread on the toaster,press the button"
13,18_makebread_2,"pick up a slice of bread from the rack,put the bread on the toaster,press the button"
14,19_takebread,"take the bread from the toaster,put the bread on the plate,put the plate on the table"
15,19_takebread_2,"take the bread from the toaster,put the bread on the plate,put the plate on the table"
16,1_potatooven,"take the corn from the table,turn on the oven ,put the corn in,turn off the oven"
17,1_potatooven_2,"take the corn from the table,turn on the oven ,put the corn in,turn off the oven"
18,20_takecorn,"take the corn out from the steamer,put the corn on the plate,close the lid"
19,20_takecorn_2,"take the corn out from the steamer,put the corn on the plate,close the lid"
20,21_takeegg,"take the egg out from the steamer,put the egg on the plate,close the lid"
21,22_takepotato,"take the potato out from the steamer,put the potato on the plate,close the lid"
22,26_cleanplate,"pick up the plate,pick up the cloth,clean the plate with the cloth"
23,27_carrotgreenplate,"take the green plate from the plate rack,put the plate on the table,take the carrot from the table,put the carrot in the plate"
24,28_packtable_2,"pick up the basket,pick up the corn from the table,pick up the potato from the table,pick up the cucumber from the table,put all items into the basket"
25,29_steampumpkin,"pick up the pumpkin,open the lid,put the pumpkin in the pot,close the lid"
26,2_cornoven,"take the corn from the table,turn on the oven,put the corn in,turn off the oven"
27,30_takepumpkin,"take the pumpkin out from the steamer,put the pumpkin in the blue plate,close the lid"
28,31_unpackbowl,"pick up the green bowl on the top,put the green bowl on the left,pick up the red bowl in the middle,put the red bowl on the right"
29,32_unpackcup,"pick up the cup on the top,put the cup on the left,pick up the cup in the middle,put the cup on the right"
30,35_putcarrot,putcarrot
31,36_putpepper,putpepper
32,37_putegg,putegg
33,38_putcorn,pick up corn from basket and place on desk
34,39_puttomato,puttomato
35,3_eggplantOven,"take the eggplant from the table,turn on the oven,put the eggplant in,turn off the oven"
36,3_eggplantoven_2,"take the eggplant from the table,turn on the oven,put the eggplant in,turn off the oven"
37,40_putavocado,putavocado
38,41_putplum,putplum
39,42_putkiwifruite,"pick up the wifruite,  put it on the bowl, pick up the plate, put it on desk"
40,43_packplate,"pick up the white plate,  put it on the blue plate,  put it on desk"
41,44_putbluebowlongreenplate,"pick up the blue bowl,  put it on the green plate,  put it on desk"
42,45_putgreenbowlonblueplate,Place the green bowl on the blue plate
43,46_putredbowlonwhiteplate,Place the red bowl on the white plate
44,48_putpotatogreenplatefromsteam_2,"the right arm pick the green plate and place it on desk, then the left arm uncap open the steamer lid, the right arm pick the potato and place it on the plate, then the right arm cap close the steamer lid"
45,4_potatobowloven_2,"take the potato from the table,put the potato in the blue bowl,turn on the oven,put the bowl in the oven,turn off the oven"
46,50_pourtea,Pour the drink into the cup
47,51_breadoven,"the left arm flap open the oven, the right arm pick bread and place it into oven, the left arm flap close the oven"
48,52_holdercup,"the left arm pick the top cup and place it on cupholder, the right arm pick up the mid cup and place it on cupholder, last the left arm pick the bottom cup and place it on cupholder."
49,53_stackcup,"the left arm pick up the left cup on cup holder and place it on desk, then the right arm insert the right cup into the first cup, and then the left arm insert the mid cup into the first cup"
50,54_placecup,"right arm lift cup from the cupboard, then place it on the right of the bowl"
51,55_pumpkinbowloven,Place pumpkin in the steamer
52,56_placeplate,Place the plate
